country,year,GENpac,RCOpac,RECpac,GENplas,RCOplas,RECplas
Spain,2015,154.11,113.14,105.42,31.77,19.41,13.99
Spain,2016,155.64,119.57,109.47,32.85,20.31,14.94
Spain,2017,161.78,120.11,110.85,34.55,22.12,16.56
Spain,2018,161.27,120.12,110.92,35.38,23.4,17.94
Spain,2019,170.1,128.46,118.39,35.76,23.88,18.42
Spain,2020,168.23,118.16,107.63,36.0,19.97,14.88
Spain,2021,183.88,136.02,117.71,38.63,22.51,17.04
Spain,2022,182.8,131.64,119.58,41.43,22.74,17.08
Spain,2023,,,,,,
Sweden,2004,164.51,95.28,82.01,19.03,13.22,4.8
Sweden,2005,167.46,93.98,80.71,19.45,14.41,5.81
Sweden,2006,156.36,126.33,90.88,20.46,16.82,8.96
Sweden,2007,157.73,128.59,93.57,20.91,16.37,8.72
Sweden,2008,152.96,122.05,89.43,20.95,13.2,7.75
Sweden,2009,152.74,117.65,89.95,20.61,8.55,7.74
Sweden,2010,105.66,103.16,73.1,21.16,10.2,6.86
Sweden,2011,109.13,109.97,78.05,22.43,13.06,7.65
Sweden,2012,111.17,108.92,77.4,22.44,13.03,7.84
Sweden,2013,109.17,85.4,78.53,23.18,13.21,10.57
Sweden,2014,113.23,88.25,79.81,23.55,13.39,11.18
Sweden,2015,113.34,90.07,81.44,23.57,14.0,11.56
Sweden,2016,132.41,93.97,90.32,24.03,14.82,12.19
Sweden,2017,130.75,94.8,93.75,23.93,11.77,11.58
Sweden,2018,133.04,83.92,82.87,24.17,12.38,12.09
Sweden,2019,134.31,83.85,82.39,23.9,13.06,12.72
Sweden,2020,132.06,84.09,79.44,24.03,12.18,8.06
Sweden,2021,156.83,96.9,90.33,39.11,14.63,9.32
Sweden,2022,131.46,90.42,84.55,32.98,14.16,9.34
Sweden,2023,125.2,88.58,83.34,34.05,13.87,9.74
